"trip"	"site"	"gut.id"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"
"1"	"GC20120419"	"I"	1	0	0	0	0	0	0	0
"2"	"GC20120419"	"I"	3	0	0	0	0	245	0	0
"3"	"GC20120419"	"I"	4	0	0	0	0	24	0	0
"4"	"GC20120419"	"I"	5	0	0	0	0	0	0	0
"5"	"GC20120419"	"I"	6	0	0	0	0	5	0	0
"6"	"GC20120419"	"I"	7	0	0	0	0	0	0	0
"7"	"GC20120419"	"I"	8	0	0	2	0	0	26	0
"8"	"GC20120419"	"I"	9	0	0	0	0	0	72	0
"9"	"GC20120419"	"I"	10	0	0	0	0	0	0	0
"10"	"GC20120419"	"I"	11	0	1	1	0	18	0	0
"11"	"GC20120419"	"I"	12	0	0	0	0	0	0	0
"12"	"GC20120419"	"I"	13	0	0	0	0	0	0	0
"13"	"GC20120419"	"I"	14	0	0	0	0	0	0	0
"14"	"GC20120419"	"I"	15	0	0	0	0	0	16	0
"15"	"GC20120419"	"I"	16	0	0	0	0	0	0	0
"16"	"GC20120419"	"I"	17	0	0	0	0	0	0	0
"17"	"GC20120419"	"I"	18	0	0	0	0	0	0	0
"18"	"GC20120419"	"I"	19	0	0	0	0	0	0	0
"19"	"GC20120419"	"I"	20	0	0	0	0	0	0	0
"20"	"GC20120419"	"I"	21	0	0	0	0	0	0	0
"21"	"GC20120419"	"II"	22	0	0	0	0	132	0	0
"22"	"GC20120419"	"II"	23	0	0	0	0	103	0	0
"23"	"GC20120419"	"II"	24	0	0	3	1	50	0	0
"24"	"GC20120419"	"II"	25	0	0	0	0	153	0	0
"25"	"GC20120419"	"II"	26	0	0	0	0	65	54	0
"26"	"GC20120419"	"II"	27	0	0	0	0	0	0	0
"27"	"GC20120419"	"II"	28	0	0	3	0	226	0	0
"28"	"GC20120419"	"II"	29	0	0	0	0	0	0	0
"29"	"GC20120419"	"II"	30	0	0	0	0	53	15	0
"30"	"GC20120419"	"II"	31	0	0	0	0	71	12	0
"31"	"GC20120419"	"II"	32	0	0	0	0	198	54	0
"32"	"GC20120419"	"II"	33	0	0	0	0	412	119	0
"33"	"GC20120419"	"II"	34	0	0	0	0	109	120	0
"34"	"GC20120419"	"II"	35	0	0	0	0	0	0	0
"35"	"GC20120419"	"II"	36	0	0	0	0	0	66	0
"36"	"GC20120419"	"II"	37	0	0	0	0	416	181	0
"37"	"GC20120419"	"II"	38	0	0	0	0	0	0	0
"38"	"GC20120419"	"II"	39	0	0	0	0	611	37	0
"39"	"GC20120419"	"II"	40	0	0	0	0	84	27	0
"40"	"GC20120419"	"II"	41	0	0	0	0	57	231	0
"41"	"GC20120419"	"II"	42	0	0	0	0	0	0	0
"42"	"GC20120419"	"III"	43	0	0	0	0	304	428	0
"43"	"GC20120419"	"III"	44	0	0	0	0	18	271	0
"44"	"GC20120419"	"III"	45	0	0	5	0	339	49	0
"45"	"GC20120419"	"III"	46	0	0	0	0	547	249	0
"46"	"GC20120419"	"III"	47	0	0	0	0	0	668	0
"47"	"GC20120419"	"III"	48	0	0	0	0	680	13	0
"48"	"GC20120419"	"III"	49	0	0	0	0	231	191	0
"49"	"GC20120419"	"III"	50	0	0	0	0	438	368	0
"50"	"GC20120419"	"III"	51	0	0	0	0	273	0	0
"51"	"GC20120419"	"III"	52	0	0	0	0	23	418	0
"52"	"GC20120419"	"III"	53	0	0	0	0	234	917	0
"53"	"GC20120419"	"III"	54	0	0	1	0	425	207	0
"54"	"GC20120419"	"III"	55	0	0	5	0	552	0	0
"55"	"GC20120419"	"III"	56	0	0	0	0	27	199	0
"56"	"GC20120419"	"III"	57	0	0	0	0	404	438	0
"57"	"GC20120419"	"III"	58	0	0	0	0	253	167	0
"58"	"GC20120419"	"III"	59	0	0	0	0	42	329	0
"59"	"GC20120419"	"III"	60	0	0	0	0	194	352	0
"60"	"GC20120419"	"III"	61	0	0	0	0	95	434	0
"61"	"GC20120419"	"III"	62	0	0	0	0	0	0	0
"62"	"GC20120419"	"IVa"	64	0	0	0	0	287	35	0
"63"	"GC20120419"	"IVa"	65	0	0	1	0	892	119	0
"64"	"GC20120419"	"IVa"	66	0	0	0	0	1035	69	0
"65"	"GC20120419"	"IVa"	67	0	0	0	0	538	234	0
"66"	"GC20120419"	"IVa"	68	0	0	0	0	87	27	0
"67"	"GC20120419"	"IVa"	70	0	0	0	0	120	0	0
"68"	"GC20120419"	"IVa"	71	0	0	0	0	32	592	0
"69"	"GC20120419"	"IVa"	72	0	0	0	0	568	29	0
"70"	"GC20120419"	"IVa"	73	0	0	0	0	408	145	0
"71"	"GC20120419"	"IVa"	74	0	0	0	0	155	621	0
"72"	"GC20120419"	"IVb"	77	0	0	0	0	157	0	0
"73"	"GC20120419"	"IVb"	78	0	0	0	0	89	11	0
"74"	"GC20120419"	"IVb"	79	0	0	0	0	29	1	0
"75"	"GC20120419"	"IVb"	80	0	0	0	0	4	41	0
"76"	"GC20120419"	"IVb"	81	0	0	0	0	154	0	0
"77"	"GC20120419"	"IVb"	82	0	0	0	0	400	0	0
"78"	"GC20120419"	"IVb"	83	1	0	1	0	355	73	0
"79"	"GC20120419"	"IVb"	84	0	0	0	0	85	21	0
"80"	"GC20120419"	"IVb"	85	0	0	0	0	74	104	0
"81"	"GC20120419"	"IVb"	86	0	0	0	0	0	31	0
"82"	"GC20120419"	"IVb"	87	0	0	0	0	15	0	0
