"trip"	"site"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"	"34"	"35"	"36"	"37"	"38"	"39"	"40"	"41"	"42"	"43"	"44"	"45"	"46"	"47"	"48"	"49"	"50"	"51"	"52"	"53"	"54"	"55"	"56"	"57"	"58"	"59"	"60"	"61"	"62"	"63"	"64"	"65"	"66"	"67"	"68"	"69"	"70"	"71"	"72"	"73"	"74"	"75"	"76"	"77"	"78"
"1"	"GC20120419"	"I"	17	5	0	0	0	0	3	3	1	3	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	4	40	96	47	13	0	0	133	333	241	101	63	24	5	1	1	0	0	794	409	104	24	7	3	4	0	0	1	0	0	0	0	0	0	0	0	0
"2"	"GC20120419"	"II"	12	3	0	0	0	0	14	29	14	4	4	1	1	0	0	0	0	0	0	0	0	2	0	4	2	1	0	0	0	89	203	127	42	8	1	2	0	1	0	0	0	13	487	1085	648	219	31	4	129	1402	2318	2082	1421	976	382	52	0	0	0	2976	3226	1071	140	28	8	3	5	2	3	1	3	1	0	0	0	0	0	0
"3"	"GC20120419"	"III"	7	0	0	0	0	0	16	11	8	2	1	1	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	110	405	164	56	19	3	0	1	0	0	0	0	56	1170	1912	617	92	10	1	192	2551	5156	3587	2032	973	154	5	15	0	0	2853	3098	1073	196	14	4	4	0	2	1	0	0	0	0	0	0	0	0	0
"4"	"GC20120419"	"IVa"	2	0	0	0	0	0	8	13	6	7	3	0	0	0	0	0	0	0	1	0	0	0	2	2	1	0	0	0	0	94	519	236	88	46	5	3	3	0	0	0	0	10	1079	3663	1460	268	33	0	686	4818	9516	6018	2919	1331	94	0	0	0	0	2853	4827	2012	370	79	14	2	6	4	1	3	0	0	0	1	0	0	0	0
"5"	"GC20120419"	"IVb"	3	0	1	0	0	0	13	12	4	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	88	350	210	58	25	2	0	0	0	0	0	0	10	1186	3276	1126	105	6	0	934	4591	6368	3728	1433	444	35	0	0	0	0	5638	6806	2015	67	36	28	2	1	5	0	0	1	0	0	0	0	1	0	0
"7"	"GC20120705"	"I"	90	9	1	2	1	0	10	52	31	25	6	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	3	0	0	1	2	0	0	0	0	0	3	225	628	396	129	20	0	41	290	470	363	140	64	14	2	0	0	0	388	600	160	25	6	4	1	0	1	0	0	1	0	0	0	0	1	0	0
"8"	"GC20120705"	"II"	61	18	11	16	12	2	22	68	69	40	10	6	2	1	0	0	0	0	0	0	0	1	5	22	15	8	0	0	0	74	354	284	140	82	47	25	13	5	3	0	0	9	654	1030	365	38	1	0	40	309	515	311	139	52	4	3	1	0	0	252	446	184	46	15	7	4	2	1	2	0	0	0	0	0	0	0	0	0
"9"	"GC20120705"	"III"	57	7	3	1	0	0	41	84	52	29	8	2	0	0	0	0	0	0	0	0	0	3	10	19	10	1	0	0	0	111	436	266	128	72	40	33	10	1	1	0	0	9	724	1083	221	28	1	1	41	273	535	334	192	23	5	2	0	1	0	277	419	131	53	23	10	4	1	2	1	2	0	0	0	0	0	0	1	0
"10"	"GC20120705"	"IVa"	28	1	0	1	0	0	103	88	44	33	6	0	0	0	0	0	0	0	0	0	1	0	9	23	13	3	0	0	0	73	365	388	187	114	88	60	23	2	2	1	0	7	605	1000	403	43	1	0	22	212	455	385	198	57	1	0	0	0	0	159	318	143	49	23	14	6	9	0	2	1	0	0	0	0	0	0	1	0
"11"	"GC20120705"	"IVb"	19	4	3	1	1	0	98	112	63	30	11	3	1	0	0	0	0	0	0	0	0	3	15	22	20	4	2	0	0	89	342	309	189	81	72	37	14	5	1	0	0	7	563	1058	418	44	2	0	16	226	442	381	190	39	2	0	1	0	0	211	360	153	39	17	7	5	2	1	1	0	1	0	0	0	0	0	0	0
