"trip"	"site"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"
"1"	"GC20120419"	"I"	0	0	0	0	0	0	0
"2"	"GC20120419"	"II"	0	0	0	0	0	0	0
"3"	"GC20120419"	"III"	0	0	0	0	9	0	0
"4"	"GC20120419"	"IVa"	0	0	0	0	0	0	442
"5"	"GC20120419"	"IVb"	0	0	0	0	0	444	0
"7"	"GC20120705"	"I"	249	0	0	0	160	4763	28779
"8"	"GC20120705"	"II"	526	0	0	549	1363	16071	21800
"9"	"GC20120705"	"III"	147	0	0	1594	2956	18753	14698
"10"	"GC20120705"	"IVa"	0	0	0	5831	7050	23148	752
"11"	"GC20120705"	"IVb"	0	0	0	4230	7471	23606	6031
"12"	"GC20120913"	"I"	369	0	0	0	0	5271	10668
"13"	"GC20120913"	"II"	0	0	0	38	0	7172	3569
"14"	"GC20120913"	"III"	0	0	0	430	0	4215	873
"15"	"GC20120913"	"IVa"	0	0	0	618	7	1243	62
"16"	"GC20120913"	"IVb"	0	0	0	3	0	376	0
"17"	"GC20130110"	"I"	19267	0	0	91	11	0	44
"18"	"GC20130110"	"II"	1703	0	0	631	0	959	37
"19"	"GC20130110"	"III"	67	0	0	684	29	1404	0
"20"	"GC20130110"	"IVa"	22	0	0	1456	305	3067	0
"21"	"GC20130110"	"IVb"	69	0	0	1394	118	3153	0
"22"	"GC20130404"	"I"	0	0	0	0	0	0	75
"23"	"GC20130404"	"II"	26	0	0	0	25	3094	1522
"24"	"GC20130404"	"III"	0	0	0	0	0	2032	668
"25"	"GC20130404"	"IVa"	0	0	0	0	618	4958	725
"26"	"GC20130404"	"IVb"	0	0	0	0	552	5594	841
"28"	"GC20130625"	"I"	417	0	0	0	431	8855	18371
"29"	"GC20130625"	"II"	593	0	0	2265	3067	33670	15881
"30"	"GC20130625"	"III"	201	0	0	2201	1494	17875	3426
"31"	"GC20130625"	"IVa"	186	0	0	3152	5037	21918	2906
"32"	"GC20130625"	"IVb"	0	0	0	2438	4097	19808	11569
"33"	"GC20130912"	"I"	575	0	0	0	7	2853	1786
"34"	"GC20130912"	"II"	0	0	0	0	0	190	100
"35"	"GC20130912"	"III"	13	0	0	0	0	375	82
"36"	"GC20130912"	"IVa"	0	0	0	0	0	103	25
"37"	"GC20130912"	"IVb"	0	0	0	0	0	0	1
"38"	"GC20140109"	"I"	7280	0	0	42	0	0	0
"39"	"GC20140109"	"II"	263	0	0	107	0	65	0
"40"	"GC20140109"	"III"	37	0	0	109	0	98	0
"41"	"GC20140109"	"IVa"	0	0	0	57	35	534	0
"42"	"GC20140109"	"IVb"	0	0	0	178	0	654	0
"43"	"GC20140626"	"I"	0	0	0	0	0	1520	2889
"44"	"GC20140626"	"II"	0	0	0	1059	0	2683	600
"45"	"GC20140626"	"III"	0	0	0	628	0	2554	888
"46"	"GC20140626"	"IVa"	0	0	0	227	0	631	1170
"47"	"GC20140626"	"IVb"	0	0	0	87	0	561	391
"48"	"GC20140403"	"I"	0	0	0	0	0	19	0
"49"	"GC20140403"	"II"	0	0	0	44	21	791	87
"50"	"GC20140403"	"III"	0	0	0	0	0	1742	26
"51"	"GC20140403"	"IVa"	0	0	0	3	570	5129	154
"52"	"GC20140403"	"IVb"	0	0	0	14	164	6870	106
"53"	"GC20140911"	"I"	0	0	0	0	0	255	4
"54"	"GC20140911"	"II"	0	0	0	59	0	112	0
"55"	"GC20140911"	"III"	0	0	0	0	0	132	0
"56"	"GC20140911"	"IVa"	0	0	0	0	0	196	0
"57"	"GC20140911"	"IVb"	0	0	0	0	0	11	1
"58"	"GC20150108"	"I"	0	0	0	0	0	0	0
"59"	"GC20150108"	"II"	0	0	0	134	11	120	0
"60"	"GC20150108"	"III"	0	0	0	137	0	208	0
"61"	"GC20150108"	"IVa"	0	0	0	230	24	670	0
"62"	"GC20150108"	"IVb"	0	0	0	127	0	496	0
"63"	"GC20150403"	"I"	0	0	0	0	0	110	0
"64"	"GC20150403"	"II"	0	0	0	0	298	1666	61
"65"	"GC20150403"	"III"	0	0	0	0	202	1932	0
"66"	"GC20150403"	"IVa"	0	0	0	0	341	2332	0
"67"	"GC20150403"	"IVb"	0	0	0	0	44	1754	0
