"SpID"	"SpeciesID"	"Description"	"LightTrap"	"Drift"	"Benthic"	"Sticky"	"Malaise"	"Pitfall"	"FishGut"	"Fish"	"RegressionA"	"RegressionB"	"Kingdom"	"Phylum"	"Class"	"Order"	"Suborder"	"Superfamily"	"Family"	"Subfamily"	"Genus"	"Species"	"Habitat"	"Stage"	"FFG"	"Notes"
1	"CHYD"	"Coleoptera: Hydroscaphidae (Adult)"	0	1	0	0	0	0	0	0	0.04	2.64	"Animalia"	"Arthropoda"	"Insecta"	"Coleoptera"	"Myxophaga"	"Sphaeriusoidea"	"Hydroscaphidae"	""	""	""	"Aquatic"	"Adult"	""	"Length-mass regression values from Sabo et al. 2002, Table 2, for Coleoptera."
6	"SPID"	"Araneae (Adult)"	1	1	0	1	1	1	1	0	0.05	2.74	"Animalia"	"Arthropoda"	"Arachnida"	"Araneae"	""	""	""	""	""	""	"Terrestrial"	"Adult"	""	"Length-mass regression values from Sabo et al. 2002, Table 2."
7	"MITE"	"Trombidiformes (Adult)"	1	1	1	1	1	0	1	0	0.05	2.33	"Animalia"	"Arthropoda"	"Arachnida"	"Trombidiformes"	""	""	""	""	""	""	"Aquatic"	"Adult"	"Predator"	"Length-mass regression values from Gruner 2003, Table 2, for Arachnida. "
8	"SCOR"	"Scorpiones: Buthidae: Centruroides sculpturatus (Adult)"	1	0	0	0	0	1	1	0	0.0078	3.42	"Animalia"	"Arthropoda"	"Arachnida"	"Scorpiones"	"Neoscorpionina"	"Buthoidea"	"Buthidae"	"Centrurinae"	"Centruroides"	"sculpturatus"	"Terrestrial"	"Adult"	""	"Length-mass regression values from Hodar 1996, Table 2."
10	"CENT"	"Chilopoda (Adult)"	0	1	0	0	0	0	1	0	0.0036	2.62	"Animalia"	"Arthropoda"	"Chilopoda"	""	""	""	""	""	""	""	"Terrestrial"	"Adult"	""	"Length-mass regression values from Hodar 1996, Table 2."
11	"HYDR"	"Hydrozoa (Adult)"	0	1	1	0	0	0	0	0	NA	NA	"Animalia"	"Cnidaria"	"Hydrozoa"	""	""	""	""	""	""	""	"Aquatic"	"Adult"	""	"No longer Identified (after ~ 2010)."
12	"CARA"	"Coleoptera: Carabidae (Adult)"	1	1	0	0	1	1	0	0	0.07	2.4	"Animalia"	"Arthropoda"	"Insecta"	"Coleoptera"	"Adephaga"	"Caraboidea"	"Carabidae"	""	""	""	"Intermediate"	"Adult"	"PredatorWanderer"	"Length-mass regression values from Sabo et al. 2002, Table 2."
18	"ELML"	"Coleoptera: Elmidae (Larva)"	1	1	1	0	0	0	0	0	0.0074	2.87	"Animalia"	"Arthropoda"	"Insecta"	"Coleoptera"	"Polyphaga"	"Byrrhoidea"	"Elmidae"	""	""	""	"Aquatic"	"Larva"	"ScraperGrazer"	"Length-mass regression values from Benke et al. 1999, Table 4."
23	"COLE"	"Coleoptera (Adult)"	1	1	1	1	1	1	1	0	0.04	2.64	"Animalia"	"Arthropoda"	"Insecta"	"Coleoptera"	""	""	""	""	""	""	"Terrestrial"	"Adult"	"Generalist"	"Length-mass regression values from Sabo et al. 2002, Table 2."
25	"COPE"	"Maxillopoda (Adult)"	0	1	1	0	0	0	1	0	0.001	1	"Animalia"	"Arthropoda"	"Maxillopoda"	""	""	""	""	""	""	""	"Aquatic"	"Adult"	""	"Length-mass regression values from unknown source."
26	"DAPH"	"Diplostraca: Daphniidae: Daphnia spp. (Adult)"	0	1	1	0	0	0	1	0	0.00233	1	"Animalia"	"Arthropoda"	"Branchiopoda"	"Diplostraca"	"Cladocera"	"Daphnoidea"	"Daphniidae"	"Daphniinae"	"Daphnia"	""	"Aquatic"	"Adult"	""	"Length-mass regression values from unknown source."
30	"DIPL"	"Diptera (Larva)"	0	1	1	0	0	0	1	0	0.0025	2.69	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	""	""	""	""	""	""	"Terrestrial"	"Larva"	""	"Length-mass regression values from Benke et al. 1999, Table 2."
32	"BLEL"	"Diptera: Blephariceridae (Larva)"	0	1	1	0	0	0	0	0	0.0067	3.29	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Nematocera"	"Blephariceroidea"	"Blephariceridae"	""	""	""	"Aquatic"	"Larva"	"ScraperGrazer"	"Length-mass regression values from Benke et al. 1999, Table 4."
35	"CERL"	"Diptera: Ceratopogonidae (Larva)"	0	1	1	0	0	0	0	0	0.0025	2.46	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Nematocera"	"Chironomoidea"	"Ceratopogonidae"	""	""	""	"Aquatic"	"Larva"	"Predator"	"Length-mass regression values from Benke et al. 1999, Table 4."
36	"CERA"	"Diptera: Ceratopogonidae (Adult)"	1	1	1	1	1	1	1	0	0.04	2.26	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Nematocera"	"Chironomoidea"	"Ceratopogonidae"	""	""	""	"Aquatic"	"Adult"	"Predator"	"Length-mass regression values from Sabo et al. 2002, Table 2, for Diptera."
37	"CHIA"	"Diptera: Chironomidae (Adult)"	1	1	1	1	1	1	1	0	0.04	2.26	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Nematocera"	"Chironomoidea"	"Chironomidae"	""	""	""	"Aquatic"	"Adult"	""	"Length-mass regression values from Sabo et al. 2002, Table 2, for Dipera adults."
38	"CHIL"	"Diptera: Chironomidae (Larva)"	1	1	1	0	0	0	1	0	0.0018	2.61	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Nematocera"	"Chironomoidea"	"Chironomidae"	""	""	""	"Aquatic"	"Larva"	""	"Length-mass regression values from Benke et al. 1999, Table 4."
39	"CHIP"	"Diptera: Chironomidae (Pupa)"	0	1	1	0	0	1	1	0	0.0018	2.61	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Nematocera"	"Chironomoidea"	"Chironomidae"	""	""	""	"Aquatic"	"Pupa"	""	"Length-mass regression values from Benke et al. 1999, Table 4, for larvae."
43	"CULA"	"Diptera: Culicidae (Adult)"	1	0	0	1	0	0	1	0	0.03	2.03	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Nematocera"	"Culicoidea"	"Culicidae"	""	""	""	"Aquatic"	"Adult"	"CollectorFilterer"	"Length-mass regression values from Sabo et al. 2002, Table 3."
44	"DOLA"	"Diptera: Dolichopodidae (Adult)"	1	1	0	1	1	0	1	0	0.04	2.26	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Brachycera"	"Empidoidea"	"Dolichopodidae"	""	""	""	"Intermediate"	"Adult"	""	"Length-mass regression values from Sabo et al. 2002, Table 2, for Diptera."
45	"EMPL"	"Diptera: Empididae (Larva)"	0	1	1	0	0	0	1	0	0.0054	2.54	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Brachycera"	"Empidoidea"	"Empididae"	""	""	""	"Aquatic"	"Larva"	"Predator"	"Length-mass regression values from Benke et al. 1999, Table 4."
46	"EPHY"	"Diptera: Ephydridae (Adult)"	1	0	0	0	0	0	0	0	0.04	2.26	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Brachycera"	"Ephydroidea"	"Ephydridae"	""	""	""	"Aquatic"	"Adult"	"Shredder"	"Length-mass regression values from Sabo et al. 2002, Table 2, for Diptera."
48	"MUSC"	"Diptera: Muscomorpha (Suborder) (Adult)"	1	1	0	1	1	0	1	0	0.04	2.26	"Animalia"	"Arthropoda"	"Insecta"	"Diptera"	"Muscomorpha"	""	""	""	""	""	"Terrestrial"	"Adult"	""	"Infraorder. Length-mass regression values from Sabo et al. 2002, Table 2, for Diptera."
